user_id,n_features,max_weight,mean_weight
160883,40,0.4837,0.1381
160909,36,0.7026,0.122
160918,45,0.4524,0.1364
161294,16,0.3929,0.2402
161370,10,0.4605,0.3024
161413,78,0.1776,0.1078
161451,12,0.4602,0.2672
161462,71,0.1679,0.1149
161501,51,0.4188,0.1261
161573,13,0.4336,0.2657
161852,10,0.4349,0.3094
162172,69,0.2507,0.1115
162189,16,0.3567,0.236
162267,15,0.4851,0.2423
162989,14,0.4328,0.2536
163272,18,0.316,0.2322
163533,27,0.3914,0.1817
164104,9,0.449,0.3272
164172,8,0.5057,0.3406
164297,61,0.6172,0.0994
164350,31,0.4756,0.1627
164418,103,0.3481,0.0906
164496,61,0.4315,0.11
164747,28,0.4071,0.171
164881,26,0.2663,0.1902
164888,9,0.4674,0.3109
165102,76,0.6463,0.0885
165321,31,0.5039,0.1548
166266,2,0.8074,0.6987
166360,20,0.3607,0.2114
166365,33,0.2842,0.1637
166599,9,0.4796,0.3201
166692,103,0.1847,0.0943
167110,1,1.0,1.0
167287,14,0.4306,0.2512
167322,97,0.2425,0.0957
167332,24,0.3095,0.195
167790,66,0.2988,0.1151
167892,72,0.2944,0.1098
167920,117,0.2842,0.0857
168146,6,0.6714,0.3819
168178,10,0.5752,0.2914
168417,77,0.1721,0.109
168528,16,0.3562,0.2365
168534,14,0.4082,0.2582
168655,14,0.4552,0.2534
168821,62,0.1685,0.1229
168966,32,0.2939,0.1676
169287,7,0.4813,0.3723
169303,26,0.2705,0.1881
169709,59,0.2259,0.1225
169779,29,0.2849,0.18
170022,30,0.2407,0.1789
170141,32,0.3264,0.1652
170393,108,0.3309,0.089
170702,14,0.5526,0.2401
170884,33,0.4163,0.1618
171010,8,0.5691,0.3298
171295,19,0.3489,0.2188
171473,31,0.4884,0.1648
171743,116,0.1274,0.0902
171800,27,0.2668,0.1852
171845,79,0.2673,0.1041
171916,104,0.4763,0.0764
172179,35,0.6123,0.1206
172278,14,0.4491,0.2525
172303,49,0.2075,0.1369
172785,75,0.1585,0.1113
172956,11,0.4492,0.2858
173103,37,0.6205,0.1323
173108,11,0.4875,0.2802
173424,2,0.7288,0.7068
