group_id,n_features,max_tfidf,mean_tfidf
32429,22,0.3646,0.0057
32433,7,0.9318,0.0022
32589,4,0.6787,0.0024
32604,11,0.5448,0.004
32623,8,0.5091,0.0035
32673,8,0.6615,0.0032
32700,10,0.412,0.0039
32859,18,0.3923,0.005
33021,14,0.3193,0.0046
33076,12,0.3744,0.0043
33622,18,0.4225,0.0051
34387,23,0.3465,0.0058
34507,6,0.5748,0.003
34546,16,0.4771,0.0046
34556,11,0.4713,0.004
34748,23,0.7094,0.0046
34877,15,0.4702,0.0047
34883,15,0.4023,0.0047
35201,16,0.426,0.0048
35280,17,0.8283,0.0038
35398,15,0.4028,0.0045
35417,19,0.3859,0.0052
35454,16,0.4102,0.0047
35577,21,0.4633,0.0053
35582,15,0.6073,0.0034
35812,15,0.7122,0.0037
35964,12,0.6124,0.0039
36191,8,0.4916,0.0033
36290,18,0.3774,0.0052
36302,17,0.3414,0.0051
37238,18,0.3585,0.0051
37332,17,0.4948,0.0048
37403,17,0.7699,0.004
37530,13,0.6036,0.0037
37672,13,0.6148,0.0039
38538,10,0.6239,0.0036
38778,18,0.5174,0.005
38910,17,0.3466,0.0051
39181,10,0.3819,0.0039
39272,17,0.5935,0.0045
39424,17,0.5365,0.0046
39427,18,0.3248,0.0052
39769,17,0.4155,0.0048
40074,7,0.4921,0.0033
40318,21,0.3505,0.0056
40383,15,0.4766,0.0047
40428,19,0.4284,0.0052
41144,18,0.3506,0.0052
41329,10,0.6964,0.0035
41559,16,0.5101,0.0045
42156,8,0.5074,0.0035
42173,17,0.4744,0.0048
43285,14,0.4784,0.0045
43559,18,0.3733,0.0051
44121,18,0.3706,0.0052
44127,14,0.6146,0.0042
